club_id,name
801,Alice Springs Golf Club
802,Alyangula Golf Club
803,Darwin Golf Club
804,Gove Country Golf Club
805,Humpty Doo + Rural Area Golf Club
806,Jabiru Golf Club
807,Katherine Golf Club
808,Palmerston Golf  Club
809,RAAF Darwin Golf Club
810,Tennant Creek Golf Club
811,RAAF Tindal Golf Club
812,Elliott Golf Club
813,Gardens Park Golf Links
20101,Stonecutters Ridge GC
20102,Avondale Golf Club
20103,Bankstown Golf Club
20104,Bonnie Doon Golf Club
20105,Castle Hill Country Club
20106,Concord Golf Club
20107,Cromer Golf Club
20108,Elanora Country Club
20109,Killara Golf Club
20110,Long Reef Golf Club
20111,Manly Golf Club
20112,Mona Vale Golf Club Ltd
20113,Monash Country Club
20114,Moore Park Golf Club
20115,Muirfield Golf Club
20116,Brighton Lakes Recreation and Golf Club
20117,New South Wales Golf Club
20118,Oatlands Golf Club
20119,Pennant Hills Golf Club
20120,Pymble Golf Club
20121,Ryde Parramatta Golf Club
20122,St Michael's Golf Club
20123,Strathfield Golf Club
20124,Terrey Hills Golf + Country Club
20125,The Australian Golf Club
20126,The Lakes Golf Club
20127,The Royal Sydney Golf Club
20128,Twin Creeks Golf and Country Club
20201,Asquith Golf Club
20202,Balgowlah Golf Club
20203,Bayview Golf Club
20204,Beverley Park Golf Club
20205,Bexley Golf Club
20206,Cabramatta Golf Club
20207,Lakeside Golf Club Camden
20208,Cammeray Golf Club
20209,Campbelltown Golf Club
20210,Carnarvon Golf Club
20211,Chatswood Golf Club
20212,Cronulla Golf Club
20213,Cumberland Country Golf Club
20214,Eastlake Golf Club
20215,Fox Hills Golf Club Ltd
20216,Kogarah Golf Club
20217,Liverpool Golf Club
20218,Massey Park Golf Club
20219,North Ryde Golf Club
20220,Northbridge Golf Club
20221,Penrith Golf and Recreation Club
20223,Riverside Oaks Golf Club
20224,Roseville Golf Club
20225,Wakehurst Golf Club
20226,Warringah Golf Club
20227,Woolooware Golf Club
20301,Antill Park Country Golf Club Ltd
20302,Bardwell Valley Golf Club
20303,Barnwell Park Golf Club
20304,Bondi Golf Club
20305,Botany Golf Club
20306,Camden Golf Club
20307,Castlecove Country Club
20308,Dunheved Golf Club
20309,Glenmore Heritage Valley Golf Club
20310,Gordon Golf Club
20311,Kareela Golf Club
20312,Lynwood Country Club
20313,Lane Cove Country Golf Club
20314,Leonay Golf Club
20315,Marrickville Golf Club
20316,Palm Beach Golf Club Ltd
20318,Orchard Hills Golf Club
20319,Randwick Golf Club
20320,Richmond Golf Club
20321,Rosnay Golf Club
20323,Rum Corps Barracks Golf Club
20324,The Coast Golf and Rec Club
20326,Wallacia Panthers Golf and Country Club
20327,Windsor Golf Club
20328,Woollahra Golf Club
20329,Georges River Golf Club
20330,Sefton Golf Club
20331,Hurstville Golf Club
20332,Avalon Golf Course
20333,Fairfield Golf Club
20391,Avalon Ladies Golf Club
20393,Wisemans Ferry Golf Club
20394,North Turramurra Ladies Golf Club
20504,Honiara Golf Club
20505,Lord Howe Island Golf Club
20506,Norfolk Island Golf Club
20507,Port Vila Golf and Country Club
20508,Macquarie Links International Golf Club
20509,Macarthur Grange Country Club
20511,Golfers Club NSW
20601,Bigga Golf Club
20602,Bombala Golf Club Ltd
20603,Braidwood Servicemens Club Ltd
20605,Coolamatong Snowy Mountain Country Club
20606,Cooma Golf Club
20607,Crookwell Golf Club
20608,Delegate Country Club
20609,Federal Golf Club
20610,Gold Creek Golf Club
20611,Goulburn Golf Club
20612,Gunning Golf Club
20614,Murrumbidgee Country Club
20616,Queanbeyan Golf Club
20617,Fairbairn Golf Club Inc
20618,Royal Canberra Golf Club
20619,Royal Military College Golf Club
20620,Taralga Golf Club
20621,Thredbo Golf Club
20622,Tully Park Golf Club
20623,Belconnen Magpies Golf Club
20624,Yass Golf Club
20625,Yowani Country Club
20626,Gungahlin Lakes Golf Club
20701,Blackheath Golf Club
20703,Gulgong Golf Club
20704,Henbury Sport and Recreation Club Ltd
20706,Leura Golf Club
20707,Lithgow Golf Club Ltd
20708,Mudgee Golf Club
20709,Oberon Golf Club
20710,Portland Golf Club
20711,Springwood Country Club
20712,Wentworth Falls Country Club
20730,Broken Hill Golf + Country Club
20731,South Broken Hill Golf Club
20801,Everglades Country Club
20802,Gosford Golf Club
20803,Mangrove Mountain Memorial Club
20804,Morisset Country Club
20805,Breakers Country Club
20806,Toukley Golf Club
20807,Shelly Beach Golf Club
20808,Wyong Golf Club
20809,The Springs Golf and Country Club
20810,Magenta Shores Golf and Country Club
20811,Kooindah Waters Golf Club
20901,Bathurst Golf Club
20902,Blayney Golf Club
20903,Canowindra Golf Club
20904,Cowra Golf Club
20905,Cumnock Golf Club Inc
20907,Manildra Golf Club
20908,Molong Golf Club
20909,Orange Ex-Services Country Golf Club
20910,Duntryleague Golf Club
20911,Sunny Ridge Golf Club
20912,Wellington Golf Club
20914,Yeoval Golf Club
21001,Bega Country Club
21002,Bermagui Country Club
21004,Catalina Country Club
21006,Eden Gardens Country Club
21007,Moruya Golf Club
21008,Narooma Golf Club
21009,Pambula-Merimbula Golf Club
21010,Tathra Beach Country Club
21011,Tura Beach Country Club
21012,Tuross Head Country Club
21013,Mandeni Golf Club
21101,Aberdeen Golf Club
21102,Branxton Golf Club
21103,Cessnock Golf Club
21104,Cypress Lakes Golf Club
21105,Denman Golf Club
21106,Dungog and District Golf Club
21107,Kurri Kurri Golf Club
21108,Maitland Golf Club - Easts Leisure + Golf
21109,Merriwa Golf Club
21110,Murrurundi Golf Club
21111,Muswellbrook Golf Club
21112,Scone Golf Club
21113,Singleton Golf Club
21114,Stroud Golf Club
21116,Paterson Golf Club
21117,The Vintage Golf Club
21118,Hunter Valley Golf and Country Club
21202,Gibraltar Country Club
21203,Bowral Golf Club
21204,Callala RSL Country Golf Club
21205,Gerringong Golf Club Inc
21206,Highlands Golf Club
21207,HMAS Creswell Golf Club
21208,Jamberoo Golf Club Ltd
21209,Kangaroo Valley Country Club
21210,Kiama Golf Club
21211,Mollymook Golf Club Ltd
21212,Moss Vale Golf Club
21213,Mt Broughton Golf Club
21214,Nowra Golf and Recreation Club
21215,Port Kembla Golf Club
21216,Russell Vale Golf Club
21217,The Links Shell Cove
21218,The Country Club St Georges Basin
21219,Sussex Inlet Golf Club
21220,The Grange Golf Club
21221,The Country Club Vincentia
21222,Wollongong Golf Club
21223,Shoalhaven Heads Golf Club Ltd
21225,Worrigee Links Golf Course (Shoalhaven Ex-Ser-vicemans)
21301,Bogan Gate Golf Club
21303,Caragabal Country Golf Club
21304,Condobolin Sports Club Ltd
21306,Forbes Golf Club
21307,Grenfell Country Club
21309,Lake Cargelligo Golf Club
21311,Parkes Golf Club
21312,Peak Hill Golf Club Co-Operative Ltd
21313,Rankin Springs Golf Club
21314,Trundle Golf Club
21315,Weethalle Country Golf Club
21401,Bulahdelah Golf Club
21402,Kew Country Club
21404,Forster-Tuncurry Golf Club
21405,Gloucester Country Club Ltd
21407,Port Macquarie Golf Club
21408,Club Taree - Golf
21409,Wauchope Golf Club
21410,Wingham Golf Club
21413,Coomba Park Golf and Country Club
21414,Harrington Waters Golf Club
21415,Tallwoods Golf Club
21501,Bellingen Golf Club
21502,Bonville Golf Resort
21503,Bowraville Golf Club
21504,Coffs Harbour Golf Club
21505,Crescent Head Country Club
21506,Dorrigo RSL Golf Club
21507,Frederickton Golf Club
21508,Grafton District Golf Club
21509,Kempsey Golf Club
21510,Macksville Country Club
21512,Sawtell Golf Club
21513,Woolgoolga RSL Golf Club
21514,South West Rocks Country Club
21515,CEX Urunga Golf Club
21601,Commercial Albury Golf Club
21602,Corowa Golf Club
21603,Howlong Country Golf Club
21605,Jindera Country Golf Club
21606,Rand Golf Club
21607,Thurgoona Country Club Resort
21608,Walla Walla Golf Club
21611,Nambucca Heads Island Golf Club
21701,Ashford Golf Club
21703,Deepwater Golf Club
21704,Delungra Golf Club
21705,Emmaville Golf Club Inc
21706,Glen Innes Golf Club
21707,Guyra Bowling and Recreation Club
21708,Inverell Golf Club
21709,Tenterfield Golf Club
21801,Belmont Golf Club
21802,Charlestown Golf Club
21803,Hawks Nest Golf Club
21804,Horizons Golf Resort
21805,Karuah Golf Club
21806,Merewether Golf Club
21807,Muree Golf Club
21808,Nelson Bay Golf Club
21809,Newcastle Golf Club
21810,Shortland Waters Golf Club
21811,Sugar Valley Golf Club
21812,Tanilba Bay Golf Club
21813,The Palms Golf Course
21814,Toronto Country Club
21815,Waratah Golf Club
21816,Beresfield Golf Club
21817,Pacific Dunes Golf Club
21890,Beresfield Ladies Golf Club
21901,Bellata Golf Club
21902,Bingara Sporting Club
21905,Moree Golf Club Ltd
21906,Mungindi Golf Club
21907,Narrabri Golf Club
21909,Warialda Golf and Bowling Club
21910,Wee Waa Golf Club
22001,Ballina Golf and Sports Club
22002,Byron Bay Golf Club
22003,Casino Golf Club
22004,Coolangatta and Tweed Heads Golf Club
22005,Coraki Golf Club
22006,Iluka Golf Club Ltd
22007,Kyogle Golf Club
22008,Lismore Workers Golf Club
22009,MacLean Golf Club
22010,Mullumbimby Golf Club
22011,Murwillumbah Golf Club
22012,Ocean Shores Country Club
22014,Club Banora Golf Club
22015,Woodburn Evanshead Golf Club
22016,Woodenbong District Golf Club
22017,Yamba Golf + Country Club
22018,Teven Golf Club
22019,Bonalbo Golf Club
22020,Pottsville Golf Club
22101,Armidale Golf Club
22102,Barraba Golf Club
22103,Boggabri Golf Club
22105,Gunnedah Golf Club
22106,Longyard Golf Club
22107,Manilla NSW Golf Club
22108,Nundle Golf Club
22109,Quirindi RSL Golf Club
22110,Spring Ridge Country Club
22111,Tamworth Golf Club
22112,Uralla Golf Club
22113,Walcha Golf Club
22114,Werris Creek Golf Club
22201,Adelong Golf Club
22204,Batlow Golf Club
22206,Coolamon Sport and Recreation Club
22207,Corryong Golf Club
22208,Culcairn Golf Club
22209,Ganmain Golf Club
22210,Grong Grong Golf Club
22211,Henty Golf Club
22212,Holbrook Returned Servicemen's Golf Club
22214,Junee Golf Club
22215,Kapooka Golf Club
22216,Khancoban Country Club
22217,Leeton Soldiers Golf Club
22218,Lockhart Golf Club
