golf_australia_url,golf_australia_name,golf_australia_course_info,course_id,holes
https://www.golf.org.au/isps-handa-australian-open/,ISPS HANDA Australian Open,0 hole,N/A,0
https://www.golf.org.au/red-rocks-golf-club/,Red Rocks Golf Club (VIC),"Golf Course ID: 31710,  9 hole",31710,9
https://www.golf.org.au/green-head-golf-club/,Green Head Golf Club (WA),"Golf Course ID: 65306,  18 hole",65306,18
https://www.golf.org.au/bulimba-golf-course/,Bulimba Golf Course,"Golf Course ID: 40120,  0 hole",40120,0
https://www.golf.org.au/bicheno-golf-club-tas/,Bicheno Golf Club (TAS),"Golf Course ID: 76302,  9 hole",76302,9
https://www.golf.org.au/beaufort-golf-club-/,Beaufort Golf Club,"Golf Course ID: 30406,  18 hole",30406,18
https://www.golf.org.au/ballarat-golf-club-/,Ballarat Golf Club (VIC),"Golf Course ID: 30405,  18 hole",30405,18
https://www.golf.org.au/ballan-golf-club-/,Ballan Golf Club,"Golf Course ID: 30404,  18 hole",30404,18
https://www.golf.org.au/dunsborough-lakes-golf-club/,Dunsborough Lakes Golf Club,"Golf Course ID: 64013,  18 hole",64013,18
https://www.golf.org.au/sandy-gallop-golf-club-/,Sandy Gallop Golf Club (QLD),"Golf Course ID: 40810,  18 hole",40810,18
https://www.golf.org.au/south-lakes-golf-club/,South Lakes Golf Club (SA),"Golf Course ID: 51114,  18 hole",51114,18
https://www.golf.org.au/stansbury-golf-club/,Stansbury Golf Club (SA),"Golf Course ID: 51311,  9 hole",51311,9
https://www.golf.org.au/whittlesea-golf-club-/,Whittlesea Golf Club (VIC),"Golf Course ID: 30140,  18 hole",30140,18
https://www.golf.org.au/merbein-golf-club-/,Merbein Golf Club (VIC),"Golf Course ID: 31303,  18 hole",31303,18
https://www.golf.org.au/merewether-golf-club-/,Merewether Golf Club (NSW),"Golf Course ID: 21806,  18 hole",21806,18
https://www.golf.org.au/merredin-golf-club-/,Merredin Golf Club (WA),"Golf Course ID: 65503,  18 hole",65503,18
https://www.golf.org.au/merriwagga-golf-club-/,Merriwagga Golf Club (NSW),"Golf Course ID: 22511,  9 hole",22511,9
https://www.golf.org.au/meredith-golf-club/,Meredith Golf Club (VIC),"Golf Course ID: 30414,  18 hole",30414,18
https://www.golf.org.au/merino-golf-club/,Merino Golf Club (VIC),"Golf Course ID: 31809,  9 hole",31809,9
https://www.golf.org.au/merriwa-golf-club-/,Merriwa Golf Club (NSW),"Golf Course ID: 21109,  9 hole",21109,9
https://www.golf.org.au/massey-park-golf-club/,Massey Park Golf Club (NSW),"Golf Course ID: 20218,  18 hole",20218,18
https://www.golf.org.au/malahide-golf-club-/,Malahide Golf Club (TAS),"Golf Course ID: 76326,  9 hole",76326,9
https://www.golf.org.au/hawkesbury-river-golf-club/,Hawkesbury River Golf Club (NSW),"Golf Course ID: 20323,  18 hole",20323,18
https://www.golf.org.au/blue-lake-golf/,Blue Lake Golf Club (SA),"Golf Course ID: 51002,  18 hole",51002,18
https://www.golf.org.au/the-springs-club/,The Springs Club,"Golf Course ID: 61001,  9 hole",61001,9
https://www.golf.org.au/neangar-park-golf-club-/,Neangar Park Golf Club (VIC),"Golf Course ID: 30519,  18 hole",30519,18
https://www.golf.org.au/talbot-golf-club-/,Talbot Golf Club (VIC),"Golf Course ID: 30420,  18 hole",30420,18
https://www.golf.org.au/gracemere-lake-golf-club/,Gracemere Lake Golf Club (QLD),"Golf Course ID: 40310,  9 hole",40310,9
https://www.golf.org.au/dartmoor-golf-club-/,Dartmoor Golf Club (VIC),"Golf Course ID: 31804,  9 hole",31804,9
https://www.golf.org.au/mount-barker-golf-club/,Mount Barker Golf Club (WA),"Golf Course ID: 66907,  18 hole",66907,18
https://www.golf.org.au/the-metropolitan-golf-club-/,The Metropolitan Golf Club (VIC),"Golf Course ID: 30125,  18 hole",30125,18
https://www.golf.org.au/mortlake-golf-club-/,Mortlake Golf Club,"Golf Course ID: 30712,  9 hole",30712,9
https://www.golf.org.au/esperance/,Esperance Golf Club (WA),"Golf Course ID: 65702,  18 hole",65702,18
https://www.golf.org.au/bothwell-golf-club-/,Bothwell Golf Club (TAS),"Golf Course ID: 76203,  18 hole",76203,18
https://www.golf.org.au/wirrabara-golf-club/,Wirrabara Golf Club,"Golf Course ID: 50727,  18 hole",50727,18
https://www.golf.org.au/robe-golf-club/,Robe Golf Club (SA),"Golf Course ID: 51013,  18 hole",51013,18
https://www.golf.org.au/maylands-peninsula-golf-course-/,Maylands GC,"Golf Course ID: 61014,  0 hole",61014,0
https://www.golf.org.au/caloundra-golf-club/,Caloundra Golf Club (QLD),"Golf Course ID: 41305,  18 hole",41305,18
https://www.golf.org.au/mirboo-north-golf-club/,Mirboo North Golf Club (VIC),"Golf Course ID: 31903,  18 hole",31903,18
https://www.golf.org.au/stroud-golf-club-/,Stroud Golf Club (NSW),"Golf Course ID: 21114,  9 hole",21114,9
https://www.golf.org.au/stanthorpe-golf-club-/,Stanthorpe Golf Club,"Golf Course ID: 40516,  18 hole",40516,18
https://www.golf.org.au/stanley-golf-club-/,Stanley Golf Club (TAS),"Golf Course ID: 76454,  9 hole",76454,9
https://www.golf.org.au/stawell-golf-club-/,Stawell Golf Club (VIC),"Golf Course ID: 32028,  18 hole",32028,18
https://www.golf.org.au/kingston-gc/,Course Ready Coaching,"Golf Course ID: 30122,  18 hole",30122,18
https://www.golf.org.au/canowindra-golf-club-/,Canowindra Golf Club (NSW),"Golf Course ID: 20903,  9 hole",20903,9
https://www.golf.org.au/pacific-harbour-golf-and-country-club/,Pacific Harbour Golf and Country Club,"Golf Course ID: 41336,  18 hole",41336,18
https://www.golf.org.au/kilkivan-golf-club-/,Kilkivan Golf Club (QLD),"Golf Course ID: 41313,  9 hole",41313,9
https://www.golf.org.au/alice-springs-golf-club-nt/,Alice Springs Golf Club (NT),"Golf Course ID: 801,  18 hole",801,18
https://www.golf.org.au/gunabul-homestead/,Gunabul Homestead Golf and Country Club,0 hole,N/A,0
https://www.golf.org.au/toronto-golf-club/,Toronto Golf Club (NSW),"Golf Course ID: 21814,  18 hole",21814,18
